"Sample.Name","Sample.Position","Data.File.POS"
"A21","P1-C3","D:\MassHunter\Data\SXT\worklist POS\A21.POS.d"
"A22","P1-C4","D:\MassHunter\Data\SXT\worklist POS\A22.POS.d"
"A23","P1-C5","D:\MassHunter\Data\SXT\worklist POS\A23.POS.d"
"A24","P1-C6","D:\MassHunter\Data\SXT\worklist POS\A24.POS.d"
"Blank6","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank6.POS.d"
"QC4","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC4.POS.d"
"A25","P1-C7","D:\MassHunter\Data\SXT\worklist POS\A25.POS.d"
"A26","P1-C8","D:\MassHunter\Data\SXT\worklist POS\A26.POS.d"
"A27","P1-C9","D:\MassHunter\Data\SXT\worklist POS\A27.POS.d"
"A28","P1-D1","D:\MassHunter\Data\SXT\worklist POS\A28.POS.d"
"A29","P1-D2","D:\MassHunter\Data\SXT\worklist POS\A29.POS.d"
"A30","P1-D3","D:\MassHunter\Data\SXT\worklist POS\A30.POS.d"
"A31","P1-D4","D:\MassHunter\Data\SXT\worklist POS\A31.POS.d"
"A32","P1-D5","D:\MassHunter\Data\SXT\worklist POS\A32.POS.d"
"validationQC2","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC2.POS.d"
"Blank7","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank7.POS.d"
"Test.mix2","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix2.POS.d"
"QC5","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC5.POS.d"
"A33","P1-D6","D:\MassHunter\Data\SXT\worklist POS\A33.POS.d"
"A34","P1-D7","D:\MassHunter\Data\SXT\worklist POS\A34.POS.d"
"A35","P1-D8","D:\MassHunter\Data\SXT\worklist POS\A35.POS.d"
"A36","P1-D9","D:\MassHunter\Data\SXT\worklist POS\A36.POS.d"
"A37","P1-E1","D:\MassHunter\Data\SXT\worklist POS\A37.POS.d"
"A38","P1-E2","D:\MassHunter\Data\SXT\worklist POS\A38.POS.d"
"A39","P1-E3","D:\MassHunter\Data\SXT\worklist POS\A39.POS.d"
"A40","P1-E4","D:\MassHunter\Data\SXT\worklist POS\A40.POS.d"
"Blank8","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank8.POS.d"
"QC6","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC6.POS.d"
"A41","P1-E5","D:\MassHunter\Data\SXT\worklist POS\A41.POS.d"
"A42","P1-E6","D:\MassHunter\Data\SXT\worklist POS\A42.POS.d"
"A43","P1-E7","D:\MassHunter\Data\SXT\worklist POS\A43.POS.d"
"A44","P1-E8","D:\MassHunter\Data\SXT\worklist POS\A44.POS.d"
"A45","P1-E9","D:\MassHunter\Data\SXT\worklist POS\A45.POS.d"
"A46","P1-F1","D:\MassHunter\Data\SXT\worklist POS\A46.POS.d"
"A47","P1-F2","D:\MassHunter\Data\SXT\worklist POS\A47.POS.d"
"A48","P1-F3","D:\MassHunter\Data\SXT\worklist POS\A48.POS.d"
"Blank9","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank9.POS.d"
"QC7","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC7.POS.d"
"A49","P1-F4","D:\MassHunter\Data\SXT\worklist POS\A49.POS.d"
"A50","P1-F5","D:\MassHunter\Data\SXT\worklist POS\A50.POS.d"
"A51","P1-F6","D:\MassHunter\Data\SXT\worklist POS\A51.POS.d"
"A52","P1-F7","D:\MassHunter\Data\SXT\worklist POS\A52.POS.d"
"A53","P1-F8","D:\MassHunter\Data\SXT\worklist POS\A53.POS.d"
"A54","P1-F9","D:\MassHunter\Data\SXT\worklist POS\A54.POS.d"
"A55","P2-A1","D:\MassHunter\Data\SXT\worklist POS\A55.POS.d"
"A56","P2-A2","D:\MassHunter\Data\SXT\worklist POS\A56.POS.d"
"Blank10","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank10.POS.d"
"QC8","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC8.POS.d"
"A57","P2-A3","D:\MassHunter\Data\SXT\worklist POS\A57.POS.d"
"A58","P2-A4","D:\MassHunter\Data\SXT\worklist POS\A58.POS.d"
"A59","P2-A5","D:\MassHunter\Data\SXT\worklist POS\A59.POS.d"
"A60","P2-A6","D:\MassHunter\Data\SXT\worklist POS\A60.POS.d"
"A61","P2-A7","D:\MassHunter\Data\SXT\worklist POS\A61.POS.d"
"A62","P2-A8","D:\MassHunter\Data\SXT\worklist POS\A62.POS.d"
"A63","P2-A9","D:\MassHunter\Data\SXT\worklist POS\A63.POS.d"
"validationQC3","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC3.POS.d"
"A64","P2-B1","D:\MassHunter\Data\SXT\worklist POS\A64.POS.d"
"Blank11","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank11.POS.d"
"Test.mix3","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix3.POS.d"
"QC9","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC9.POS.d"
"A65","P2-B2","D:\MassHunter\Data\SXT\worklist POS\A65.POS.d"
"A66","P2-B3","D:\MassHunter\Data\SXT\worklist POS\A66.POS.d"
"A67","P2-B4","D:\MassHunter\Data\SXT\worklist POS\A67.POS.d"
"A68","P2-B5","D:\MassHunter\Data\SXT\worklist POS\A68.POS.d"
"A69","P2-B6","D:\MassHunter\Data\SXT\worklist POS\A69.POS.d"
"A70","P2-B7","D:\MassHunter\Data\SXT\worklist POS\A70.POS.d"
"A71","P2-B8","D:\MassHunter\Data\SXT\worklist POS\A71.POS.d"
"A72","P2-B9","D:\MassHunter\Data\SXT\worklist POS\A72.POS.d"
"Blank12","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank12.POS.d"
"QC10","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC10.POS.d"
"A73","P2-C1","D:\MassHunter\Data\SXT\worklist POS\A73.POS.d"
"A74","P2-C2","D:\MassHunter\Data\SXT\worklist POS\A74.POS.d"
"A75","P2-C3","D:\MassHunter\Data\SXT\worklist POS\A75.POS.d"
"A76","P2-C4","D:\MassHunter\Data\SXT\worklist POS\A76.POS.d"
"A77","P2-C5","D:\MassHunter\Data\SXT\worklist POS\A77.POS.d"
"A78","P2-C6","D:\MassHunter\Data\SXT\worklist POS\A78.POS.d"
"A79","P2-C7","D:\MassHunter\Data\SXT\worklist POS\A79.POS.d"
"A80","P2-C8","D:\MassHunter\Data\SXT\worklist POS\A80.POS.d"
"Blank13","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank13.POS.d"
"QC11","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC11.POS.d"
"A81","P2-C9","D:\MassHunter\Data\SXT\worklist POS\A81.POS.d"
"A82","P2-D1","D:\MassHunter\Data\SXT\worklist POS\A82.POS.d"
"A83","P2-D2","D:\MassHunter\Data\SXT\worklist POS\A83.POS.d"
"A84","P2-D3","D:\MassHunter\Data\SXT\worklist POS\A84.POS.d"
"A85","P2-D4","D:\MassHunter\Data\SXT\worklist POS\A85.POS.d"
"A86","P2-D5","D:\MassHunter\Data\SXT\worklist POS\A86.POS.d"
"A87","P2-D6","D:\MassHunter\Data\SXT\worklist POS\A87.POS.d"
"A88","P2-D7","D:\MassHunter\Data\SXT\worklist POS\A88.POS.d"
"Blank14","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank14.POS.d"
"QC12","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC12.POS.d"
"A89","P2-D8","D:\MassHunter\Data\SXT\worklist POS\A89.POS.d"
"A90","P2-D9","D:\MassHunter\Data\SXT\worklist POS\A90.POS.d"
"A91","P2-E1","D:\MassHunter\Data\SXT\worklist POS\A91.POS.d"
"A92","P2-E2","D:\MassHunter\Data\SXT\worklist POS\A92.POS.d"
"A93","P2-E3","D:\MassHunter\Data\SXT\worklist POS\A93.POS.d"
"A94","P2-E4","D:\MassHunter\Data\SXT\worklist POS\A94.POS.d"
"validationQC4","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC4.POS.d"
"A95","P2-E5","D:\MassHunter\Data\SXT\worklist POS\A95.POS.d"
"A96","P2-E6","D:\MassHunter\Data\SXT\worklist POS\A96.POS.d"
"Blank15","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank15.POS.d"
"Test.mix4","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix4.POS.d"
"QC13","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC13.POS.d"
"A97","P2-E7","D:\MassHunter\Data\SXT\worklist POS\A97.POS.d"
"A98","P2-E8","D:\MassHunter\Data\SXT\worklist POS\A98.POS.d"
"A99","P2-E9","D:\MassHunter\Data\SXT\worklist POS\A99.POS.d"
"A100","P2-F1","D:\MassHunter\Data\SXT\worklist POS\A100.POS.d"
"A101","P2-F2","D:\MassHunter\Data\SXT\worklist POS\A101.POS.d"
"A102","P2-F3","D:\MassHunter\Data\SXT\worklist POS\A102.POS.d"
"A103","P2-F4","D:\MassHunter\Data\SXT\worklist POS\A103.POS.d"
"A104","P2-F5","D:\MassHunter\Data\SXT\worklist POS\A104.POS.d"
"Blank16","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank16.POS.d"
"QC14","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC14.POS.d"
"A105","P2-F6","D:\MassHunter\Data\SXT\worklist POS\A105.POS.d"
"A106","P2-F7","D:\MassHunter\Data\SXT\worklist POS\A106.POS.d"
"A107","P2-F8","D:\MassHunter\Data\SXT\worklist POS\A107.POS.d"
"A108","P2-F9","D:\MassHunter\Data\SXT\worklist POS\A108.POS.d"
"A109","P1-A1","D:\MassHunter\Data\SXT\worklist POS\A109.POS.d"
"A110","P1-A2","D:\MassHunter\Data\SXT\worklist POS\A110.POS.d"
"A111","P1-A3","D:\MassHunter\Data\SXT\worklist POS\A111.POS.d"
"A112","P1-A4","D:\MassHunter\Data\SXT\worklist POS\A112.POS.d"
"Blank17","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank17.POS.d"
"QC15","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC15.POS.d"
"A113","P1-A5","D:\MassHunter\Data\SXT\worklist POS\A113.POS.d"
"A114","P1-A6","D:\MassHunter\Data\SXT\worklist POS\A114.POS.d"
"A115","P1-A7","D:\MassHunter\Data\SXT\worklist POS\A115.POS.d"
"A116","P1-A8","D:\MassHunter\Data\SXT\worklist POS\A116.POS.d"
"A117","P1-A9","D:\MassHunter\Data\SXT\worklist POS\A117.POS.d"
"A118","P1-B1","D:\MassHunter\Data\SXT\worklist POS\A118.POS.d"
"A119","P1-B2","D:\MassHunter\Data\SXT\worklist POS\A119.POS.d"
"A120","P1-B3","D:\MassHunter\Data\SXT\worklist POS\A120.POS.d"
"Blank18","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank18.POS.d"
"QC16","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC16.POS.d"
"A121","P1-B4","D:\MassHunter\Data\SXT\worklist POS\A121.POS.d"
"A122","P1-B5","D:\MassHunter\Data\SXT\worklist POS\A122.POS.d"
"A123","P1-B6","D:\MassHunter\Data\SXT\worklist POS\A123.POS.d"
"A124","P1-B7","D:\MassHunter\Data\SXT\worklist POS\A124.POS.d"
"A125","P1-B8","D:\MassHunter\Data\SXT\worklist POS\A125.POS.d"
"validationQC5","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC5.POS.d"
"A126","P1-B9","D:\MassHunter\Data\SXT\worklist POS\A126.POS.d"
"A127","P1-C1","D:\MassHunter\Data\SXT\worklist POS\A127.POS.d"
"A128","P1-C2","D:\MassHunter\Data\SXT\worklist POS\A128.POS.d"
"Blank19","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank19.POS.d"
"Test.mix5","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix5.POS.d"
"QC17","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC17.POS.d"
"A129","P1-C3","D:\MassHunter\Data\SXT\worklist POS\A129.POS.d"
"A130","P1-C4","D:\MassHunter\Data\SXT\worklist POS\A130.POS.d"
"A131","P1-C5","D:\MassHunter\Data\SXT\worklist POS\A131.POS.d"
"A132","P1-C6","D:\MassHunter\Data\SXT\worklist POS\A132.POS.d"
"A133","P1-C7","D:\MassHunter\Data\SXT\worklist POS\A133.POS.d"
"A134","P1-C8","D:\MassHunter\Data\SXT\worklist POS\A134.POS.d"
"A135","P1-C9","D:\MassHunter\Data\SXT\worklist POS\A135.POS.d"
"A136","P1-D1","D:\MassHunter\Data\SXT\worklist POS\A136.POS.d"
"Blank20","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank20.POS.d"
"QC18","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC18.POS.d"
"A137","P1-D2","D:\MassHunter\Data\SXT\worklist POS\A137.POS.d"
"A138","P1-D3","D:\MassHunter\Data\SXT\worklist POS\A138.POS.d"
"A139","P1-D4","D:\MassHunter\Data\SXT\worklist POS\A139.POS.d"
"A140","P1-D5","D:\MassHunter\Data\SXT\worklist POS\A140.POS.d"
"A141","P1-D6","D:\MassHunter\Data\SXT\worklist POS\A141.POS.d"
"A142","P1-D7","D:\MassHunter\Data\SXT\worklist POS\A142.POS.d"
"A143","P1-D8","D:\MassHunter\Data\SXT\worklist POS\A143.POS.d"
"A144","P1-D9","D:\MassHunter\Data\SXT\worklist POS\A144.POS.d"
"Blank21","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank21.POS.d"
"QC19","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC19.POS.d"
"A145","P1-E1","D:\MassHunter\Data\SXT\worklist POS\A145.POS.d"
"A146","P1-E2","D:\MassHunter\Data\SXT\worklist POS\A146.POS.d"
"A147","P1-E3","D:\MassHunter\Data\SXT\worklist POS\A147.POS.d"
"A148","P1-E4","D:\MassHunter\Data\SXT\worklist POS\A148.POS.d"
"A149","P1-E5","D:\MassHunter\Data\SXT\worklist POS\A149.POS.d"
"A150","P1-E6","D:\MassHunter\Data\SXT\worklist POS\A150.POS.d"
"A151","P1-E7","D:\MassHunter\Data\SXT\worklist POS\A151.POS.d"
"A152","P1-E8","D:\MassHunter\Data\SXT\worklist POS\A152.POS.d"
"Blank22","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank22.POS.d"
"QC20","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC20.POS.d"
"A153","P1-E9","D:\MassHunter\Data\SXT\worklist POS\A153.POS.d"
"A154","P1-F1","D:\MassHunter\Data\SXT\worklist POS\A154.POS.d"
"A155","P1-F2","D:\MassHunter\Data\SXT\worklist POS\A155.POS.d"
"A156","P1-F3","D:\MassHunter\Data\SXT\worklist POS\A156.POS.d"
"validationQC6","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC6.POS.d"
"A157","P1-F4","D:\MassHunter\Data\SXT\worklist POS\A157.POS.d"
"A158","P1-F5","D:\MassHunter\Data\SXT\worklist POS\A158.POS.d"
"A159","P1-F6","D:\MassHunter\Data\SXT\worklist POS\A159.POS.d"
"A160","P1-F7","D:\MassHunter\Data\SXT\worklist POS\A160.POS.d"
"Blank23","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank23.POS.d"
"Test.mix6","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix6.POS.d"
"QC21","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC21.POS.d"
"A161","P1-F8","D:\MassHunter\Data\SXT\worklist POS\A161.POS.d"
"A162","P1-F9","D:\MassHunter\Data\SXT\worklist POS\A162.POS.d"
"A163","P2-A1","D:\MassHunter\Data\SXT\worklist POS\A163.POS.d"
"A164","P2-A2","D:\MassHunter\Data\SXT\worklist POS\A164.POS.d"
"A165","P2-A3","D:\MassHunter\Data\SXT\worklist POS\A165.POS.d"
"A166","P2-A4","D:\MassHunter\Data\SXT\worklist POS\A166.POS.d"
"A167","P2-A5","D:\MassHunter\Data\SXT\worklist POS\A167.POS.d"
"A168","P2-A6","D:\MassHunter\Data\SXT\worklist POS\A168.POS.d"
"Blank24","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank24.POS.d"
"QC22","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC22.POS.d"
"A169","P2-A7","D:\MassHunter\Data\SXT\worklist POS\A169.POS.d"
"A170","P2-A8","D:\MassHunter\Data\SXT\worklist POS\A170.POS.d"
"A171","P2-A9","D:\MassHunter\Data\SXT\worklist POS\A171.POS.d"
"A172","P2-B1","D:\MassHunter\Data\SXT\worklist POS\A172.POS.d"
"A173","P2-B2","D:\MassHunter\Data\SXT\worklist POS\A173.POS.d"
"A174","P2-B3","D:\MassHunter\Data\SXT\worklist POS\A174.POS.d"
"A175","P2-B4","D:\MassHunter\Data\SXT\worklist POS\A175.POS.d"
"A176","P2-B5","D:\MassHunter\Data\SXT\worklist POS\A176.POS.d"
"Blank25","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank25.POS.d"
"QC23","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC23.POS.d"
"A177","P2-B6","D:\MassHunter\Data\SXT\worklist POS\A177.POS.d"
"A178","P2-B7","D:\MassHunter\Data\SXT\worklist POS\A178.POS.d"
"A179","P2-B8","D:\MassHunter\Data\SXT\worklist POS\A179.POS.d"
"A180","P2-B9","D:\MassHunter\Data\SXT\worklist POS\A180.POS.d"
"A181","P2-C1","D:\MassHunter\Data\SXT\worklist POS\A181.POS.d"
"A182","P2-C2","D:\MassHunter\Data\SXT\worklist POS\A182.POS.d"
"A183","P2-C3","D:\MassHunter\Data\SXT\worklist POS\A183.POS.d"
"A184","P2-C4","D:\MassHunter\Data\SXT\worklist POS\A184.POS.d"
"Blank26","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank26.POS.d"
"QC24","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC24.POS.d"
"A185","P2-C5","D:\MassHunter\Data\SXT\worklist POS\A185.POS.d"
"A186","P2-C6","D:\MassHunter\Data\SXT\worklist POS\A186.POS.d"
"A187","P2-C7","D:\MassHunter\Data\SXT\worklist POS\A187.POS.d"
"validationQC7","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC7.POS.d"
"A188","P2-C8","D:\MassHunter\Data\SXT\worklist POS\A188.POS.d"
"A189","P2-C9","D:\MassHunter\Data\SXT\worklist POS\A189.POS.d"
"A190","P2-D1","D:\MassHunter\Data\SXT\worklist POS\A190.POS.d"
"A191","P2-D2","D:\MassHunter\Data\SXT\worklist POS\A191.POS.d"
"A192","P2-D3","D:\MassHunter\Data\SXT\worklist POS\A192.POS.d"
"Blank27","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank27.POS.d"
"Test.mix7","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix7.POS.d"
"QC25","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC25.POS.d"
"A193","P2-D4","D:\MassHunter\Data\SXT\worklist POS\A193.POS.d"
"A194","P2-D5","D:\MassHunter\Data\SXT\worklist POS\A194.POS.d"
"A195","P2-D6","D:\MassHunter\Data\SXT\worklist POS\A195.POS.d"
"A196","P2-D7","D:\MassHunter\Data\SXT\worklist POS\A196.POS.d"
"A197","P2-D8","D:\MassHunter\Data\SXT\worklist POS\A197.POS.d"
"A198","P2-D9","D:\MassHunter\Data\SXT\worklist POS\A198.POS.d"
"A199","P2-E1","D:\MassHunter\Data\SXT\worklist POS\A199.POS.d"
"A200","P2-E2","D:\MassHunter\Data\SXT\worklist POS\A200.POS.d"
"QC26","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC26.POS.d"
"Test.mix8","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix8.POS.d"
"validationQC8","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC8.POS.d"
"Blank28","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank28.POS.d"
"Blank29","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank29.POS.d"
"Blank30","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank30.POS.d"
